Dataset,Setup,Mean,Std
Cora,Topology-Only (β=0),80.53,0.5
Cora,Spectral-Aware (β=0.1),84.9,0.55
CiteSeer,Topology-Only (β=0),69.12,0.66
CiteSeer,Spectral-Aware (β=0.1),71.5,0.63
PubMed,Topology-Only (β=0),79.51,0.14
PubMed,Spectral-Aware (β=0.2),80.94,0.19
Computers,Topology-Only (β=0),89.01,0.3
Computers,Spectral-Aware (β=1.0),89.64,0.29
Photo,Topology-Only (β=0),92.79,0.13
Photo,Spectral-Aware (β=1.0),93.64,0.07
CS,Topology-Only (β=0),92.46,0.04
CS,Spectral-Aware (β=1.0),94.26,0.07
