Dataset,Alpha,Beta,Mean,Std
Cora,0.1,0.0,80.88,0.41
Cora,0.1,0.1,82.28,0.3
Cora,0.1,0.2,82.45,0.33
Cora,0.1,0.3,82.5,0.3
Cora,0.1,0.4,82.41,0.26
Cora,0.1,0.5,82.39,0.28
Cora,0.1,0.6,82.35,0.39
Cora,0.1,0.7,82.32,0.36
Cora,0.1,0.8,82.26,0.33
Cora,0.1,0.9,82.23,0.37
Cora,0.1,1.0,82.26,0.38
Cora,0.2,0.0,81.02,0.45
Cora,0.2,0.1,83.2,0.35
Cora,0.2,0.2,83.25,0.31
Cora,0.2,0.3,83.32,0.22
Cora,0.2,0.4,82.99,0.28
Cora,0.2,0.5,82.49,0.3
Cora,0.2,0.6,82.29,0.33
Cora,0.2,0.7,82.13,0.32
Cora,0.2,0.8,82.04,0.29
Cora,0.2,0.9,82.0,0.32
Cora,0.2,1.0,81.93,0.33
Cora,0.3,0.0,80.92,0.42
Cora,0.3,0.1,83.81,0.31
Cora,0.3,0.2,83.61,0.31
Cora,0.3,0.3,83.24,0.22
Cora,0.3,0.4,82.83,0.34
Cora,0.3,0.5,82.01,0.31
Cora,0.3,0.6,81.49,0.25
Cora,0.3,0.7,81.13,0.29
Cora,0.3,0.8,80.73,0.4
Cora,0.3,0.9,80.37,0.5
Cora,0.3,1.0,80.01,0.5
Cora,0.4,0.0,80.95,0.41
Cora,0.4,0.1,84.2,0.33
Cora,0.4,0.2,84.11,0.29
Cora,0.4,0.3,83.24,0.47
Cora,0.4,0.4,82.08,0.56
Cora,0.4,0.5,81.38,0.53
Cora,0.4,0.6,81.02,0.49
Cora,0.4,0.7,80.58,0.5
Cora,0.4,0.8,80.62,0.64
Cora,0.4,0.9,80.39,0.44
Cora,0.4,1.0,80.17,0.53
Cora,0.5,0.0,80.86,0.37
Cora,0.5,0.1,84.63,0.44
Cora,0.5,0.2,83.99,0.75
Cora,0.5,0.3,83.06,0.6
Cora,0.5,0.4,81.95,0.62
Cora,0.5,0.5,81.12,0.47
Cora,0.5,0.6,81.02,0.74
Cora,0.5,0.7,80.56,0.47
Cora,0.5,0.8,80.07,0.59
Cora,0.5,0.9,79.54,0.65
Cora,0.5,1.0,80.08,0.81
Cora,0.6,0.0,80.94,0.37
Cora,0.6,0.1,85.12,0.51
Cora,0.6,0.2,84.06,0.74
Cora,0.6,0.3,82.86,0.6
Cora,0.6,0.4,81.73,0.55
Cora,0.6,0.5,81.38,0.6
Cora,0.6,0.6,80.76,0.45
Cora,0.6,0.7,80.2,0.56
Cora,0.6,0.8,79.58,0.69
Cora,0.6,0.9,80.18,0.83
Cora,0.6,1.0,79.83,0.94
Cora,0.7,0.0,81.01,0.47
Cora,0.7,0.1,84.92,0.72
Cora,0.7,0.2,83.94,0.75
Cora,0.7,0.3,83.0,0.72
Cora,0.7,0.4,81.6,0.57
Cora,0.7,0.5,81.32,0.72
Cora,0.7,0.6,80.75,0.43
Cora,0.7,0.7,80.18,0.46
Cora,0.7,0.8,79.62,0.59
Cora,0.7,0.9,78.94,0.64
Cora,0.7,1.0,78.36,0.69
Cora,0.8,0.0,80.72,0.45
Cora,0.8,0.1,85.09,0.78
Cora,0.8,0.2,83.97,0.79
Cora,0.8,0.3,82.63,0.66
Cora,0.8,0.4,81.79,0.54
