Dataset,Seed,N_test,GCN_Acc,SETTA_Acc,Delta_Acc,Accepted_Test,Accepted_Test_Ratio,Kept_Test,Changed,Changed_Ratio,Changed_Accepted,Changed_Kept,Wrong_to_Correct,Correct_to_Wrong,Wrong_to_Wrong,Correct_to_Correct,Net_Corrected,Wrong_to_Correct_Rate,Correct_to_Wrong_Rate,Net_Corrected_Rate,Accepted_GCN_Acc,Accepted_SETTA_Acc,Accepted_Delta_Acc,Kept_GCN_Acc,Kept_SETTA_Acc,Kept_Delta_Acc,Used_Steps,Stopped_Early
Cora,42,1000,80.9,85.5,4.6,702,70.2,298,124,12.4,124,0,75,29,116,780,46,7.5,2.9,4.6,73.7892,80.3419,6.5527,97.651,97.651,0.0,7,1
Cora,43,1000,81.0,85.6,4.6,715,71.5,285,123,12.3,123,0,75,29,115,781,46,7.5,2.9,4.6,74.2657,80.6993,6.4336,97.8947,97.8947,0.0,7,1
Cora,44,1000,79.9,84.0,4.1,776,77.6,224,149,14.9,149,0,86,45,115,754,41,8.6,4.5,4.1,74.7423,80.0258,5.2835,97.7679,97.7679,0.0,8,1
Cora,45,1000,80.4,83.6,3.2,860,86.0,140,145,14.5,145,0,79,47,117,757,32,7.9,4.7,3.2,77.3256,81.0465,3.7209,99.2857,99.2857,0.0,8,1
Cora,46,1000,80.6,85.6,5.0,703,70.3,297,125,12.5,125,0,77,27,117,779,50,7.7,2.7,5.0,73.3997,80.5121,7.1124,97.6431,97.6431,0.0,7,1
Cora,47,1000,79.7,84.2,4.5,747,74.7,253,128,12.8,128,0,79,34,124,763,45,7.9,3.4,4.5,73.7617,79.7858,6.0241,97.2332,97.2332,0.0,7,1
Cora,48,1000,80.8,85.8,5.0,710,71.0,290,122,12.2,122,0,79,29,113,779,50,7.9,2.9,5.0,73.9437,80.9859,7.0423,97.5862,97.5862,0.0,7,1
Cora,49,1000,80.5,85.8,5.3,707,70.7,293,122,12.2,122,0,78,25,117,780,53,7.8,2.5,5.3,73.4088,80.9052,7.4965,97.6109,97.6109,0.0,7,1
Cora,50,1000,80.2,85.5,5.3,720,72.0,280,122,12.2,122,0,79,26,119,776,53,7.9,2.6,5.3,73.4722,80.8333,7.3611,97.5,97.5,0.0,7,1
Cora,51,1000,80.8,85.3,4.5,722,72.2,278,122,12.2,122,0,76,31,116,777,45,7.6,3.1,4.5,74.3767,80.6094,6.2327,97.482,97.482,0.0,7,1
CiteSeer,42,1000,67.9,71.5,3.6,892,89.2,108,171,17.1,171,0,77,41,244,638,36,7.7,4.1,3.6,65.583,69.6188,4.0359,87.037,87.037,0.0,10,0
CiteSeer,43,1000,69.1,71.4,2.3,907,90.7,93,166,16.6,166,0,73,50,236,641,23,7.3,5.0,2.3,67.3649,69.9008,2.5358,86.0215,86.0215,0.0,10,0
CiteSeer,44,1000,68.8,71.2,2.4,913,91.3,87,180,18.0,180,0,78,54,234,634,24,7.8,5.4,2.4,67.0318,69.6605,2.6287,87.3563,87.3563,0.0,10,0
