Dataset,Backbone,Frozen,SETTA,Δ,Wins/Seeds,Changed,Conclusion
CS,GAT,92.08 ± 0.10,93.67 ± 0.09,+1.58,10/10,3.86%,Improves
CS,GCN,92.89 ± 0.06,94.26 ± 0.07,+1.36,10/10,3.63%,Improves
CS,GradGateGNN,93.22 ± 0.16,93.58 ± 0.14,+0.37,10/10,1.97%,Improves
CS,GraphSAGE,93.24 ± 0.07,94.10 ± 0.06,+0.87,10/10,2.48%,Improves
CS,GraphTransformer,92.69 ± 0.11,93.50 ± 0.09,+0.81,10/10,2.40%,Improves
CiteSeer,GAT,67.15 ± 1.10,71.10 ± 0.80,+3.95,10/10,17.32%,Improves
CiteSeer,GCN,68.42 ± 0.89,71.50 ± 0.63,+3.08,10/10,16.92%,Improves
CiteSeer,GradGateGNN,68.66 ± 0.91,72.53 ± 0.76,+3.87,10/10,16.88%,Improves
CiteSeer,GraphSAGE,69.21 ± 1.27,72.15 ± 0.41,+2.94,10/10,17.09%,Improves
CiteSeer,GraphTransformer,67.79 ± 1.14,72.08 ± 0.76,+4.29,10/10,18.47%,Improves
Computers,GAT,89.05 ± 0.19,89.13 ± 0.27,+0.08,6/10,1.57%,Improves
Computers,GCN,89.42 ± 0.18,89.62 ± 0.21,+0.20,9/10,1.87%,Improves
Computers,GradGateGNN,88.07 ± 0.51,88.55 ± 0.50,+0.48,10/10,1.67%,Improves
Computers,GraphSAGE,88.79 ± 0.31,88.92 ± 0.41,+0.13,5/10,2.03%,Improves
Computers,GraphTransformer,88.78 ± 0.41,89.42 ± 0.26,+0.65,10/10,1.59%,Improves
Cora,GAT,81.20 ± 0.66,85.00 ± 0.67,+3.80,10/10,13.06%,Improves
Cora,GCN,80.48 ± 0.41,85.09 ± 0.78,+4.61,10/10,12.82%,Improves
Cora,GradGateGNN,79.14 ± 0.81,84.39 ± 0.54,+5.25,10/10,13.58%,Improves
Cora,GraphSAGE,79.28 ± 0.94,83.79 ± 1.27,+4.51,10/10,14.96%,Improves
Cora,GraphTransformer,78.54 ± 0.59,84.24 ± 0.38,+5.70,10/10,14.24%,Improves
Photo,GAT,93.13 ± 0.13,93.62 ± 0.23,+0.49,10/10,2.22%,Improves
Photo,GCN,93.17 ± 0.09,93.63 ± 0.09,+0.46,10/10,2.56%,Improves
Photo,GradGateGNN,93.48 ± 0.19,93.93 ± 0.17,+0.45,10/10,1.85%,Improves
Photo,GraphSAGE,94.04 ± 0.20,94.36 ± 0.16,+0.32,10/10,2.15%,Improves
Photo,GraphTransformer,94.14 ± 0.14,94.48 ± 0.08,+0.34,10/10,1.73%,Improves
PubMed,GAT,77.63 ± 0.51,78.87 ± 0.78,+1.24,10/10,9.87%,Improves
PubMed,GCN,78.93 ± 0.24,80.94 ± 0.19,+2.01,10/10,8.57%,Improves
PubMed,GradGateGNN,75.83 ± 1.36,78.27 ± 1.04,+2.44,10/10,8.61%,Improves
PubMed,GraphSAGE,76.16 ± 0.51,78.38 ± 0.96,+2.22,10/10,10.30%,Improves
PubMed,GraphTransformer,73.89 ± 1.20,76.45 ± 1.73,+2.56,10/10,9.54%,Improves
