Dataset,Backbone,Frozen_Mean,Frozen_Std,SETTA_Mean,SETTA_Std,Delta_Mean,Delta_Std,Change_Rate_Mean,Prob_L1_Shift_Mean,Train_Time_Mean,SETTA_Time_Mean,Num_Seeds,Improved_Seeds,Tied_Seeds,Worse_Seeds,Win_Rate,Delta_SE,Delta_CI95,Improves_On_Mean
CS,GAT,92.0831,0.0951,93.6656,0.0865,1.5826,0.0956,3.8579,0.0637,0.0,0.123,10,10,0,0,1.0,0.0302,0.0593,True
CS,GCN,92.8945,0.0568,94.2582,0.069,1.3637,0.0498,3.6254,0.0597,0.0,0.1412,10,10,0,0,1.0,0.0158,0.0309,True
CS,GradGateGNN,93.2176,0.1636,93.5831,0.1404,0.3655,0.0576,1.9719,0.0377,0.0,0.123,10,10,0,0,1.0,0.0182,0.0357,True
CS,GraphSAGE,93.2374,0.0688,94.1047,0.063,0.8673,0.0622,2.4833,0.0398,0.0,0.123,10,10,0,0,1.0,0.0197,0.0385,True
CS,GraphTransformer,92.6865,0.1055,93.4993,0.0886,0.8128,0.0834,2.3994,0.04,0.0,0.123,10,10,0,0,1.0,0.0264,0.0517,True
CiteSeer,GAT,67.15,1.103,71.1,0.7975,3.95,0.6607,17.32,0.4217,0.0,0.0367,10,10,0,0,1.0,0.2089,0.4095,True
CiteSeer,GCN,68.42,0.8897,71.5,0.6309,3.08,0.8761,16.92,0.4021,0.0,0.0373,10,10,0,0,1.0,0.2771,0.543,True
CiteSeer,GradGateGNN,68.66,0.9102,72.53,0.7551,3.87,0.9144,16.88,0.5544,0.0,0.0365,10,10,0,0,1.0,0.2892,0.5667,True
CiteSeer,GraphSAGE,69.21,1.2684,72.15,0.408,2.94,1.021,17.09,0.4375,0.0,0.0367,10,10,0,0,1.0,0.3229,0.6328,True
CiteSeer,GraphTransformer,67.79,1.1379,72.08,0.76,4.29,1.0894,18.47,0.5786,0.0,0.0368,10,10,0,0,1.0,0.3445,0.6752,True
Computers,GAT,89.0484,0.1854,89.1256,0.2728,0.0773,0.1183,1.5734,0.0434,0.0,0.0621,10,6,2,2,0.6,0.0374,0.0733,True
Computers,GCN,89.4201,0.1791,89.621,0.2102,0.2009,0.1313,1.8742,0.0491,0.0,0.0779,10,9,0,1,0.9,0.0415,0.0814,True
Computers,GradGateGNN,88.0667,0.5059,88.5484,0.5045,0.4817,0.2035,1.6679,0.0456,0.0,0.0623,10,10,0,0,1.0,0.0644,0.1261,True
Computers,GraphSAGE,88.7911,0.3068,88.9238,0.4137,0.1327,0.2471,2.0251,0.0452,0.0,0.0626,10,5,0,5,0.5,0.0781,0.1531,True
Computers,GraphTransformer,88.7784,0.4105,89.4237,0.2567,0.6453,0.2545,1.5861,0.0419,0.0,0.0622,10,10,0,0,1.0,0.0805,0.1578,True
Cora,GAT,81.2,0.6557,85.0,0.6708,3.8,0.7887,13.06,0.6518,0.0,0.004,10,10,0,0,1.0,0.2494,0.4888,True
Cora,GCN,80.48,0.4118,85.09,0.7816,4.61,0.5941,12.82,0.6137,0.0,0.0109,10,10,0,0,1.0,0.1879,0.3682,True
Cora,GradGateGNN,79.14,0.8114,84.39,0.543,5.25,0.5464,13.58,0.8305,0.0,0.0073,10,10,0,0,1.0,0.1728,0.3386,True
Cora,GraphSAGE,79.28,0.9357,83.79,1.2684,4.51,1.2161,14.96,0.6318,0.0,0.0043,10,10,0,0,1.0,0.3846,0.7537,True
Cora,GraphTransformer,78.54,0.5851,84.24,0.3774,5.7,0.5967,14.24,0.8481,0.0,0.0039,10,10,0,0,1.0,0.1887,0.3698,True
Photo,GAT,93.1307,0.131,93.6242,0.2278,0.4935,0.1616,2.2206,0.0515,0.0,0.0267,10,10,0,0,1.0,0.0511,0.1001,True
Photo,GCN,93.1716,0.0896,93.6307,0.0852,0.4592,0.0965,2.5572,0.0614,0.0,0.0205,10,10,0,0,1.0,0.0305,0.0598,True
Photo,GradGateGNN,93.4755,0.1908,93.9265,0.1743,0.451,0.1158,1.8497,0.0464,0.0,0.0267,10,10,0,0,1.0,0.0366,0.0718,True
Photo,GraphSAGE,94.036,0.2022,94.3562,0.1628,0.3203,0.1245,2.152,0.0465,0.0,0.0269,10,10,0,0,1.0,0.0394,0.0772,True
Photo,GraphTransformer,94.1373,0.1392,94.4804,0.082,0.3431,0.0862,1.7255,0.0412,0.0,0.0268,10,10,0,0,1.0,0.0272,0.0534,True
PubMed,GAT,77.63,0.508,78.87,0.7849,1.24,0.5553,9.87,0.1244,0.0,0.1618,10,10,0,0,1.0,0.1756,0.3442,True
PubMed,GCN,78.93,0.2369,80.94,0.1908,2.01,0.3727,8.57,0.1098,0.0,0.1724,10,10,0,0,1.0,0.1179,0.231,True
PubMed,GradGateGNN,75.83,1.3594,78.27,1.0412,2.44,0.8947,8.61,0.112,0.0,0.1614,10,10,0,0,1.0,0.2829,0.5545,True
PubMed,GraphSAGE,76.16,0.5103,78.38,0.9642,2.22,1.0284,10.3,0.1219,0.0,0.1617,10,10,0,0,1.0,0.3252,0.6374,True
PubMed,GraphTransformer,73.89,1.2037,76.45,1.7345,2.56,1.1834,9.54,0.1195,0.0,0.1616,10,10,0,0,1.0,0.3742,0.7335,True
