Dataset,Backbone,Frozen_Mean,Frozen_Std,SETTA_Mean,SETTA_Std,Delta_Mean,Delta_Std,Delta_SE,Delta_CI95_Low,Delta_CI95_High,Paired_t_stat,Paired_t_p,Wilcoxon_stat,Wilcoxon_p,Cohens_dz,Num_Seeds,Improved_Seeds,Tied_Seeds,Worse_Seeds,Min_Delta,Max_Delta,Test_Alternative,Input_Mode,Significant_t_0.05,Significant_wilcoxon_0.05,Paired_t_p_fmt,Wilcoxon_p_fmt,Sig_t,Sig_wilcoxon
Cora,GCN,80.48000395298004,0.43410178590337867,85.09000420570374,0.8238799153749143,4.610000252723694,0.6261869959864881,0.19801771484960176,4.162053060704666,5.057947444742721,23.28074665554583,2.369384187222881e-09,0.0,0.001953125,7.362018506087228,10,10,0,0,3.200000524520874,5.299997329711914,two-sided,raw,True,True,2.37e-09,0.0020,***,**
Cora,GraphSAGE,79.28000390529633,0.9863508759596098,83.790003657341,1.337036577436592,4.509999752044678,1.2818821858732294,0.40536673993547234,3.592996477716834,5.427003026372521,11.125727169334601,1.4627002502424882e-06,0.0,0.001953125,3.5182638480715185,10,10,0,0,1.8000006675720215,5.799996852874756,two-sided,raw,True,True,1.46e-06,0.0020,***,**
Cora,GAT,81.2000048160553,0.6912150107147548,85.00000357627869,0.7071067624565439,3.7999987602233887,0.8313308995168542,0.26288991317498317,3.2053004600925084,4.394697060354269,14.454714957793211,1.5553779735723911e-07,0.0,0.001953125,4.57098221951312,10,10,0,0,2.399998903274536,4.799997806549072,two-sided,raw,True,True,1.56e-07,0.0020,***,**
CiteSeer,GCN,68.42000365257263,0.9378469536687112,71.50000333786011,0.664997615859855,3.0799996852874756,0.9235193633493474,0.29204246514525656,2.4193537309015647,3.7406456396733865,10.54641037821517,2.294105961064483e-06,0.0,0.001953125,3.335067793399778,10,10,0,0,1.3000011444091797,4.499995708465576,two-sided,raw,True,True,2.29e-06,0.0020,***,**
CiteSeer,GraphSAGE,69.21000301837921,1.3370356561226275,72.1500039100647,0.4301148061289344,2.940000891685486,1.0762068303113235,0.340326481721412,2.170128903350459,3.7098728800205127,8.638766154236984,1.1921958841962693e-05,0.0,0.001953125,2.731817722096232,10,10,0,0,1.3999998569488525,4.699999094009399,two-sided,raw,True,True,1.19e-05,0.0020,***,**
CiteSeer,GAT,67.15000331401825,1.1626118443250941,71.10000312328339,0.840635123936312,3.9499998092651367,0.6964195295016851,0.22022719202481522,3.451811289370956,4.448188329159318,17.93602221845543,2.367578363843298e-08,0.0,0.001953125,5.67186823737053,10,10,0,0,2.899998426437378,4.80000376701355,two-sided,raw,True,True,2.37e-08,0.0020,***,**
PubMed,GCN,78.93000364303589,0.2496660681169746,80.94000339508057,0.20110821876288393,2.0099997520446777,0.3928527628589629,0.12423095157243244,1.728969815096919,2.2910296889924364,16.179540819767077,5.83586521296141e-08,0.0,0.001953125,5.116420048613182,10,10,0,0,1.3999998569488525,2.799999713897705,two-sided,raw,True,True,5.84e-08,0.0020,***,**
PubMed,GraphSAGE,76.16000354290009,0.5378966665270838,78.38000416755676,1.0163120132730006,2.2200006246566772,1.0840249164462594,0.34279877763439,1.4445359144134122,2.9954653348999423,6.4761042614463635,0.00011459540164794142,0.0,0.001953125,2.0479239830893072,10,10,0,0,0.4999995231628418,3.700000047683716,two-sided,raw,True,True,0.0001,0.0020,***,**
PubMed,GAT,77.63000428676605,0.53551637178972,78.87000322341919,0.8273789354999135,1.2399989366531372,0.5853763965651191,0.1851122701647742,0.8212458887677101,1.6587519845385643,6.698631784642776,8.867500686815974e-05,0.0,0.001953125,2.1182933646269695,10,10,0,0,0.3000020980834961,1.8999993801116943,two-sided,raw,True,True,8.87e-05,0.0020,***,**
CS,GCN,92.89445221424103,0.05991382857677029,94.25815105438232,0.07269106816660366,1.3636988401412977,0.05252165956639416,0.016608807072177708,1.3261271082565091,1.4012705720260863,82.10697097118441,2.9859344373223476e-14,0.0,0.001953125,25.96450400462701,10,10,0,0,1.302331686019869,1.452338695526123,two-sided,raw,True,True,2.99e-14,0.0020,***,**
CS,GraphSAGE,93.23742389678955,0.0725023998060673,94.10473585128784,0.06635657615840641,0.8673119544982939,0.06554180166882126,0.020726137522450006,0.8204261740435845,0.9141977349530033,41.846289669690954,1.2672140351151924e-11,0.0,0.001953125,13.232958698339855,10,10,0,0,0.7636725902557373,0.981861352920518,two-sided,raw,True,True,1.27e-11,0.0020,***,**
CS,GAT,92.08305180072784,0.10028491653736533,93.66562306880951,0.09114073993103942,1.5825712680816693,0.10079835195681093,0.031875237657481285,1.5104644708971213,1.6546780652662172,49.64892450645718,2.7365735498467227e-12,0.0,0.001953125,15.700368481815591,10,10,0,0,1.431882381439209,1.7864406108856343,two-sided,raw,True,True,2.74e-12,0.0020,***,**
Computers,GCN,89.42010521888733,0.18877025811887982,89.62097704410553,0.22154326781229275,0.20087182521820068,0.138407697434749,0.04376835695932511,0.10186092301630832,0.29988272742009303,4.58943033673563,0.0013100911874835849,2.0,0.005859375,1.4513053026758125,10,9,0,1,-0.06362795829772949,0.3544807434082031,two-sided,raw,True,True,0.0013,0.0059,**,**
Computers,GraphSAGE,88.79112899303436,0.32342649842091753,88.9238315820694,0.436078957863056,0.13270258903503418,0.260425132163356,0.08235365775865783,-0.05359432775094869,0.31899950582101705,1.6113745599974052,0.14155761179540507,15.0,0.232421875,0.5095613773243447,10,5,0,5,-0.16360878944396973,0.6362497806549072,two-sided,raw,False,False,0.1416,0.2324,n.s.,n.s.
Computers,GAT,89.04835402965546,0.1954803005916337,89.12561237812042,0.28752990962375113,0.07725834846496582,0.12471928067951132,0.03943969950850884,-0.011960450279020748,0.1664771472089524,1.9588979994205549,0.08178913751676663,5.5,0.109375,0.6194579382116152,10,6,2,2,-0.09998679161071777,0.27267932891845703,two-sided,raw,False,False,0.0818,0.1094,n.s.,n.s.
Photo,GCN,93.17157208919525,0.09447914394192232,93.63072216510773,0.0897623576198983,0.45915007591246704,0.10173914231480036,0.032172741690678464,0.38637027784824407,0.53192987397669,14.271400315425975,1.737102197548516e-07,0.0,0.001953125,4.513013039679152,10,10,0,0,0.2941131591796733,0.6209194660186768,two-sided,raw,True,True,1.74e-07,0.0020,***,**
Photo,GraphSAGE,94.03595089912415,0.2131858552527874,94.3562114238739,0.171581209629345,0.32026052474975303,0.13121736521811608,0.04149457426554038,0.22639327635537948,0.4141277731441266,7.718130151192245,2.94461452043325e-05,0.0,0.001953125,2.4406870555387234,10,10,0,0,0.06535649299620161,0.4575192928314493,two-sided,raw,True,True,2.94e-05,0.0020,***,**
Photo,GAT,93.13072204589844,0.13804777066154245,93.62418591976166,0.24012089635961695,0.49346387386321877,0.17029772005352561,0.05385286757028726,0.3716402237488602,0.6152875239775774,9.163186588330944,7.369103911464547e-06,0.0,0.001953125,2.8976540244233457,10,10,0,0,0.22875666618345747,0.7843136787414693,two-sided,raw,True,True,7.37e-06,0.0020,***,**
