Dataset,N,Node,H_norm,max_prob,tau_v,Decision,tau_max_dynamic,tau_min_dynamic
Cora,2708,0,0.02195,0.994417,0.985271,Keep original,0.989661,0.789661
Cora,2708,1,0.0008,0.999856,0.989501,Keep original,0.989661,0.789661
Cora,2708,2,0.009298,0.997738,0.987801,Keep original,0.989661,0.789661
Cora,2708,3,0.011947,0.99718,0.987272,Keep original,0.989661,0.789661
Cora,2708,4,0.078717,0.975578,0.973918,Keep original,0.989661,0.789661
Cora,2708,5,0.013443,0.996869,0.986972,Keep original,0.989661,0.789661
Cora,2708,6,0.04661,0.987165,0.980339,Keep original,0.989661,0.789661
Cora,2708,7,0.027375,0.99305,0.984186,Keep original,0.989661,0.789661
Cora,2708,8,0.0396,0.989089,0.981741,Keep original,0.989661,0.789661
Cora,2708,9,0.032256,0.991412,0.98321,Keep original,0.989661,0.789661
Cora,2708,10,0.024954,0.992548,0.98467,Keep original,0.989661,0.789661
Cora,2708,11,0.096495,0.96981,0.970362,Accept refinement,0.989661,0.789661
Cora,2708,12,0.063059,0.981437,0.977049,Keep original,0.989661,0.789661
Cora,2708,13,0.132903,0.954547,0.96308,Accept refinement,0.989661,0.789661
Cora,2708,14,0.037394,0.989195,0.982182,Keep original,0.989661,0.789661
Cora,2708,15,0.026245,0.993298,0.984412,Keep original,0.989661,0.789661
Cora,2708,16,0.01545,0.996373,0.986571,Keep original,0.989661,0.789661
Cora,2708,17,0.008266,0.998174,0.988008,Keep original,0.989661,0.789661
Cora,2708,18,0.023438,0.994053,0.984973,Keep original,0.989661,0.789661
Cora,2708,19,0.005987,0.998735,0.988464,Keep original,0.989661,0.789661
Cora,2708,20,0.018549,0.995387,0.985951,Keep original,0.989661,0.789661
Cora,2708,21,0.049,0.986036,0.979861,Keep original,0.989661,0.789661
Cora,2708,22,0.020912,0.994727,0.985479,Keep original,0.989661,0.789661
Cora,2708,23,0.059218,0.982333,0.977817,Keep original,0.989661,0.789661
Cora,2708,24,0.003714,0.99925,0.988918,Keep original,0.989661,0.789661
Cora,2708,25,0.032704,0.991321,0.98312,Keep original,0.989661,0.789661
Cora,2708,26,0.000956,0.999833,0.98947,Keep original,0.989661,0.789661
Cora,2708,27,0.03001,0.991929,0.983659,Keep original,0.989661,0.789661
Cora,2708,28,0.015187,0.996434,0.986624,Keep original,0.989661,0.789661
Cora,2708,29,0.155563,0.946389,0.958548,Accept refinement,0.989661,0.789661
Cora,2708,30,0.050131,0.984625,0.979635,Keep original,0.989661,0.789661
Cora,2708,31,0.005015,0.99898,0.988658,Keep original,0.989661,0.789661
Cora,2708,32,0.106258,0.964559,0.968409,Accept refinement,0.989661,0.789661
Cora,2708,33,0.010681,0.997381,0.987525,Keep original,0.989661,0.789661
Cora,2708,34,0.035872,0.990526,0.982487,Keep original,0.989661,0.789661
Cora,2708,35,0.061063,0.982172,0.977448,Keep original,0.989661,0.789661
