Dataset,Method,Mean_Accuracy,Std_Dev
Cora,MLP,56.35,0.48
Cora,GCN,80.48,0.41
Cora,GraphSAGE,79.41,0.76
Cora,GIN,63.48,3.35
Cora,GAT,81.2,0.66
Cora,GraphTransformer,78.43,1.05
Cora,GradGateGNN,79.01,0.47
Cora,DSSR,85.09,0.78
CiteSeer,MLP,55.27,1.21
CiteSeer,GCN,68.42,0.89
CiteSeer,GraphSAGE,68.68,2.07
CiteSeer,GIN,55.17,2.45
CiteSeer,GAT,67.15,1.1
CiteSeer,GraphTransformer,67.58,0.96
CiteSeer,GradGateGNN,68.07,0.63
CiteSeer,DSSR,71.5,0.63
PubMed,MLP,73.07,0.27
PubMed,GCN,78.93,0.24
PubMed,GraphSAGE,76.28,0.54
PubMed,GIN,55.21,4.63
PubMed,GAT,77.63,0.51
PubMed,GraphTransformer,74.81,1.89
PubMed,GradGateGNN,74.8,1.44
PubMed,DSSR,80.94,0.19
