Dataset,Method,Mean_Accuracy,Std_Dev
CS,MLP,92.1,0.14
CS,GCN,92.89,0.06
CS,GraphSAGE,93.23,0.06
CS,GIN,88.1,0.52
CS,GAT,92.08,0.1
CS,GraphTransformer,92.68,0.07
CS,GradGateGNN,93.2,0.17
CS,DSSR,94.26,0.07
Computers,MLP,80.43,0.38
Computers,GCN,89.41,0.23
Computers,GraphSAGE,88.92,0.57
Computers,GIN,85.79,0.8
Computers,GAT,89.05,0.21
Computers,GraphTransformer,88.26,0.69
Computers,GradGateGNN,87.77,0.54
Computers,DSSR,89.64,0.29
Photo,MLP,87.86,0.24
Photo,GCN,93.18,0.09
Photo,GraphSAGE,93.91,0.14
Photo,GIN,90.24,0.49
Photo,GAT,93.1,0.13
Photo,GraphTransformer,94.16,0.14
Photo,GradGateGNN,93.44,0.36
Photo,DSSR,93.64,0.07
