dataset,method,mean,std,train_time_mean,train_time_std,post_time_mean,post_time_std,runtime_mean,runtime_std,one_time_preprocess,amortized_runtime_mean,amortized_runtime_std,time_mean,time_std,preprocess_per_seed
CS,APPNP,93.399,0.0702,1.5193,0.2469,0,0,1.5193,0.2469,0,1.5193,0.2469,1.5193,0.2469,0
CS,C&S,92.3292,0.0534,0.7219,0.1051,0.2992,0.012,1.0212,0.1155,0,1.0212,0.1155,1.0212,0.1155,0
CS,GCN,92.8945,0.0599,0.7219,0.1051,0,0,0.7219,0.1051,0,0.7219,0.1051,0.7219,0.1051,0
CS,SETTA,94.2582,0.0727,0.7219,0.1051,0.0619,0.0052,0.7838,0.1096,11.9223,1.9761,0.1096,0.7838,0.1096,1.1922
CiteSeer,APPNP,69.67,0.6567,0.3361,0.0346,0,0,0.3361,0.0346,0,0.3361,0.0346,0.3361,0.0346,0
CiteSeer,C&S,68.76,0.7777,0.254,0.07,0.0389,0.0022,0.293,0.0703,0,0.293,0.0703,0.293,0.0703,0
CiteSeer,GCN,68.42,0.9378,0.254,0.07,0,0,0.254,0.07,0,0.254,0.07,0.254,0.07,0
CiteSeer,SETTA,71.5,0.665,0.254,0.07,0.01,0.0039,0.264,0.0699,15.0456,1.7686,0.0699,0.264,0.0699,1.5046
Computers,APPNP,88.8402,0.4647,1.4106,0.0721,0,0,1.4106,0.0721,0,1.4106,0.0721,1.4106,0.0721,0
Computers,C&S,89.0293,0.1426,1.3332,0.0262,0.8024,0.0232,2.1356,0.031,0,2.1356,0.031,2.1356,0.031,0
Computers,GCN,89.3229,0.2533,1.3332,0.0262,0,0,1.3332,0.0262,0,1.3332,0.0262,1.3332,0.0262,0
Computers,SETTA,89.64,0.29,1.3332,0.0262,0.0171,0.0001,1.3503,0.0262,2.1493,1.5652,0.0262,1.3503,0.0262,0.2149
Cora,APPNP,81.72,0.6106,0.3898,0.0299,0,0,0.3898,0.0299,0,0.3898,0.0299,0.3898,0.0299,0
Cora,C&S,81.02,0.607,0.449,0.1553,0.0423,0.0092,0.4913,0.1607,0,0.4913,0.1607,0.4913,0.1607,0
Cora,GCN,80.48,0.4341,0.449,0.1553,0,0,0.449,0.1553,0,0.449,0.1553,0.449,0.1553,0
Cora,SETTA,85.09,0.8239,0.449,0.1553,0.0069,0.0059,0.456,0.159,2.5533,0.7113,0.159,0.456,0.159,0.2553
Photo,APPNP,93.5523,0.1527,1.4034,0.197,0,0,1.4034,0.197,0,1.4034,0.197,1.4034,0.197,0
Photo,C&S,92.8301,0.1013,0.9949,0.0937,0.3764,0.0016,1.3713,0.0939,0,1.3713,0.0939,1.3713,0.0939,0
Photo,GCN,93.1683,0.0876,0.9949,0.0937,0,0,0.9949,0.0937,0,0.9949,0.0937,0.9949,0.0937,0
Photo,SETTA,93.64,0.07,0.9949,0.0937,0.0059,0,1.0008,0.0937,0.7274,1.0735,0.0937,1.0008,0.0937,0.0727
PubMed,APPNP,79.9,0.1826,0.8016,0.1408,0,0,0.8016,0.1408,0,0.8016,0.1408,0.8016,0.1408,0
PubMed,C&S,79.62,0.1932,0.6454,0.0817,0.0973,0.001,0.7428,0.0823,0,0.7428,0.0823,0.7428,0.0823,0
PubMed,GCN,78.93,0.2497,0.6454,0.0817,0,0,0.6454,0.0817,0,0.6454,0.0817,0.6454,0.0817,0
PubMed,SETTA,80.94,0.2011,0.6454,0.0817,0.0854,0.036,0.7308,0.1112,3.9449,1.1253,0.1112,0.7308,0.1112,0.3945
