dataset,method,mean,std,train_time_mean,post_time_mean,runtime_mean,one_time_preprocess,amortized_runtime_mean,train_time_std,post_time_std,runtime_std,amortized_runtime_std,time_mean,time_std,preprocess_per_seed
CS,APPNP,93.3983,0.0655,1.5431,0.0,1.5431,0.0,1.5431,0.2138,0.0,0.2138,0.2138,1.5431,0.2138,0.0
CS,C&S,92.3292,0.0507,0.7243,0.2942,1.0184,0.0,1.0184,0.0838,0.011,0.0915,0.0915,1.0184,0.0915,0.0
CS,GCN,92.8945,0.0568,0.7243,0.0,0.7243,0.0,0.7243,0.0838,0.0,0.0838,0.0838,0.7243,0.0838,0.0
CS,SETTA,94.2582,0.069,0.7243,0.0619,0.7862,11.9487,1.9811,0.0838,0.0052,0.0873,0.0873,0.7862,0.0873,1.1949
CiteSeer,APPNP,69.67,0.623,0.3443,0.0,0.3443,0.0,0.3443,0.0232,0.0,0.0232,0.0232,0.3443,0.0232,0.0
CiteSeer,C&S,68.76,0.7378,0.2546,0.0396,0.2943,0.0,0.2943,0.0635,0.0017,0.0632,0.0632,0.2943,0.0632,0.0
CiteSeer,GCN,68.42,0.8897,0.2546,0.0,0.2546,0.0,0.2546,0.0635,0.0,0.0635,0.0635,0.2546,0.0635,0.0
CiteSeer,SETTA,71.5,0.6309,0.2546,0.0102,0.2648,14.7096,1.7357,0.0635,0.0038,0.0637,0.0637,0.2648,0.0637,1.471
Computers,APPNP,88.6412,0.4183,1.5965,0.0,1.5965,0.0,1.5965,0.1195,0.0,0.1195,0.1195,1.5965,0.1195,0.0
Computers,C&S,89.062,0.2054,1.4332,0.7825,2.2156,0.0,2.2156,0.0446,0.0089,0.0492,0.0492,2.2156,0.0492,0.0
Computers,GCN,89.4619,0.1777,1.4332,0.0,1.4332,0.0,1.4332,0.0446,0.0,0.0446,0.0446,1.4332,0.0446,0.0
Computers,SETTA,89.661,0.2305,1.4332,0.0171,1.4503,2.07,1.6573,0.0446,0.0001,0.0446,0.0446,1.4503,0.0446,0.207
Cora,APPNP,81.72,0.5793,0.421,0.0,0.421,0.0,0.421,0.0273,0.0,0.0273,0.0273,0.421,0.0273,0.0
Cora,C&S,81.02,0.5758,0.4696,0.0438,0.5133,0.0,0.5133,0.1453,0.0097,0.1507,0.1507,0.5133,0.1507,0.0
Cora,GCN,80.48,0.4118,0.4696,0.0,0.4696,0.0,0.4696,0.1453,0.0,0.1453,0.1453,0.4696,0.1453,0.0
Cora,SETTA,85.09,0.7816,0.4696,0.0068,0.4763,2.5435,0.7307,0.1453,0.0056,0.1488,0.1488,0.4763,0.1488,0.2543
Photo,APPNP,93.5654,0.245,1.4472,0.0,1.4472,0.0,1.4472,0.2678,0.0,0.2678,0.2678,1.4472,0.2678,0.0
Photo,C&S,92.8399,0.0991,1.0312,0.3749,1.4061,0.0,1.4061,0.1062,0.0016,0.1062,0.1062,1.4061,0.1062,0.0
Photo,GCN,93.1928,0.1289,1.0312,0.0,1.0312,0.0,1.0312,0.1062,0.0,0.1062,0.1062,1.0312,0.1062,0.0
Photo,SETTA,93.634,0.0868,1.0312,0.0058,1.037,0.7148,1.1085,0.1062,0.0,0.1062,0.1062,1.037,0.1062,0.0715
PubMed,APPNP,79.91,0.1578,0.8905,0.0,0.8905,0.0,0.8905,0.123,0.0,0.123,0.123,0.8905,0.123,0.0
PubMed,C&S,79.62,0.1833,0.7292,0.0975,0.8267,0.0,0.8267,0.1042,0.0007,0.1045,0.1045,0.8267,0.1045,0.0
PubMed,GCN,78.93,0.2369,0.7292,0.0,0.7292,0.0,0.7292,0.1042,0.0,0.1042,0.1042,0.7292,0.1042,0.0
PubMed,SETTA,80.94,0.1908,0.7292,0.1036,0.8328,3.8024,1.213,0.1042,0.0367,0.134,0.134,0.8328,0.134,0.3802
